post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,ctr,country,region,language,festival_relevance,relevant_festivals,timestamp,month,day_of_week,ad_spend,post_reach,age_group,gender
1,static_image,YouTube,Food,4453,993,711,13956,0.44,0.07,Spain,Rural,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-03-12 13:41:49,March,Tuesday,1662.11,12455,45-54,Other
2,static_image,Twitter,Entertainment,175,318,350,7325,0.12,0.04,Egypt,Rural,Arabic,No,"Ramadan, Eid al-Fitr",2024-05-27 22:14:07,May,Monday,4161.47,5479,25-34,Other
3,static_image,Facebook,Gaming,1846,168,12,8616,0.24,0.02,Germany,Rural,German,No,Oktoberfest,2024-05-03 10:00:25,May,Friday,1161.82,6121,45-54,Male
4,reel,TikTok,Food,4790,939,38,6645,0.87,0.14,Brazil,Rural,Portuguese,Yes,Carnival,2024-04-11 13:32:31,April,Thursday,1319.31,5068,55+,Female
5,reel,Twitter,Food,3317,740,69,7267,0.57,0.1,India,Urban,Hindi,Yes,"Diwali, Holi, Eid",2024-09-12 19:22:49,September,Thursday,4837.94,6503,25-34,Female
6,video,TikTok,Politics,0,0,0,0,0.0,0.0,Indonesia,Rural,Indonesian,No,None,2024-10-18 15:21:08,October,Friday,0.0,0,35-44,Female
7,carousel,Facebook,Travel,2434,45,435,11145,0.26,0.0,Greece,Rural,Greek,No,"Easter, Carnival",2024-02-01 01:15:24,February,Thursday,2648.4,9802,18-24,Other
8,static_image,Twitter,Sports,2250,256,237,7488,0.37,0.03,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-11-20 22:22:37,November,Wednesday,644.86,5087,55+,Male
9,static_image,TikTok,Education,2065,761,461,5954,0.55,0.13,Spain,Urban,Spanish,No,"La Tomatina, Running of the Bulls",2024-11-11 15:43:38,November,Monday,4107.28,4458,25-34,Other
10,reel,Facebook,Music,4954,979,534,13912,0.46,0.07,South Korea,Urban,Korean,Yes,"Chuseok, Seollal",2024-12-12 13:42:32,December,Thursday,4538.96,11544,25-34,Female
11,carousel,Twitter,Politics,2337,769,634,2329,1.61,0.33,India,Urban,English,No,"Diwali, Holi, Eid",2024-10-17 02:17:52,October,Thursday,3641.13,1913,55+,Male
12,reel,YouTube,Entertainment,3610,75,300,7728,0.52,0.01,Saudi Arabia,Rural,Arabic,No,"Eid al-Fitr, Eid al-Adha",2024-06-09 10:04:19,June,Sunday,289.04,6510,25-34,Male
13,static_image,Instagram,Social Issues,1324,137,337,3204,0.56,0.04,South Africa,Rural,Zulu,No,Heritage Day,2024-02-29 11:39:54,February,Thursday,720.4,2378,35-44,Male
14,static_image,Instagram,Fashion,1368,637,397,1458,1.65,0.44,India,Urban,Hindi,No,"Diwali, Holi, Eid",2024-02-26 07:07:30,February,Monday,1977.6,1270,18-24,Female
15,reel,Facebook,Food,262,613,308,4615,0.26,0.13,Greece,Urban,Greek,No,"Easter, Carnival",2024-06-07 13:08:48,June,Friday,4913.81,2870,45-54,Male
16,video,Instagram,Politics,4597,630,368,2062,2.71,0.31,Italy,Urban,Italian,Yes,"Venice Carnival, Easter",2024-09-11 20:34:10,September,Wednesday,973.18,1297,45-54,Other
17,static_image,YouTube,Entertainment,3870,14,44,667,5.89,0.02,Spain,Urban,Spanish,Yes,"La Tomatina, Running of the Bulls",2024-09-22 20:25:24,September,Sunday,4460.94,408,25-34,Male
18,reel,YouTube,Entertainment,3325,464,298,5068,0.81,0.09,Japan,Urban,Japanese,Yes,"Cherry Blossom Festival, Obon",2024-10-26 08:26:26,October,Saturday,3292.6,3742,35-44,Female
19,video,Facebook,Travel,652,308,447,1387,1.01,0.22,United States,Rural,English,No,"Thanksgiving, Independence Day, Halloween",2024-01-02 15:25:48,January,Tuesday,3796.98,1189,25-34,Male
20,reel,Instagram,Entertainment,3933,839,113,9893,0.49,0.08,Germany,Urban,German,No,Oktoberfest,2024-03-28 09:39:09,March,Thursday,3676.28,6444,35-44,Female
